labnumber,Sbox,date,sd,diff,Country,Site,SiteID,Source
WIS-500,32,1020,55,0.053921569,USA,13CK15,6312,CARD
Beta-38700,2,4570,70,0.015317287,USA,41BX831,7,TARL/CARD
WIS-2155,32,830,50,0.060240964,USA,25HL28,4768,CARD
WIS-581,32,720,60,0.083333333,USA,39HT1,6809,CARD
ISGS-3024,32,940,70,0.074468085,USA,13CK21,6309,CARD
Beta-124388,2,3200,50,0.015625,USA,41WB437,9,TARL
WIS-889,32,6080,70,0.011513158,USA,13CK405,6260,CARD
Beta-78656,2,7910,60,0.007585335,USA,41BX831,7,TARL/CARD
Beta-78657,2,7740,50,0.006459948,USA,41BX831,7,TARL/CARD
Beta-60262,10,1730,80,0.046242775,USA,41GR559,749,TARL
ISGS-3022,32,990,90,0.090909091,USA,13CK21,6309,CARD
WIS-891,32,7145,75,0.010496851,USA,13CK405,6260,CARD
ISGS-3065,32,990,70,0.070707071,USA,13CK21,6309,CARD
ISGS-2979,32,840,70,0.083333333,USA,13CK21,6309,CARD
ISGS-3023,32,960,70,0.072916667,USA,13CK21,6309,CARD
ISGS-3064,32,980,70,0.071428571,USA,13CK21,6309,CARD
M-129,2,4650,150,0.032258065,USA,418B94,1,TARL
Tx-4095,2,7770,810,0.104247104,USA,41GD30,2,TARL
Beta-47523,2,6985,65,0.009305655,USA,41BX831,7,TARL/CARD
Beta-47524,2,6900,70,0.010144928,USA,41BX831,7,TARL/CARD
Beta-47525,2,6930,65,0.009379509,USA,41BX831,7,TARL/CARD
Beta-47529,2,7645,70,0.009156311,USA,41BX831,7,TARL/CARD
Beta-47530,2,7000,70,0.01,USA,41BX831,7,TARL/CARD
C-698,2,1212,300,0.247524752,USA,41UV2,8,TARL
Tx-12,2,1765,145,0.082152975,USA,41UV2,8,TARL
Tx-13,2,6695,360,0.053771471,USA,41UV2,8,TARL
Tx-5,2,1045,55,0.052631579,USA,41UV2,8,TARL
Tx-58,2,545,120,0.220183486,USA,41UV2,8,TARL
Tx-59,2,5890,200,0.033955857,USA,41UV2,8,TARL
Tx-6,2,1120,60,0.053571429,USA,41UV2,8,TARL
Tx-63,2,7900,800,0.101265823,USA,41UV2,8,TARL
Tx-67,2,1150,140,0.12173913,USA,41UV2,8,TARL
Tx-68,2,6020,170,0.028239203,USA,41UV2,8,TARL
Beta-106326,2,2060,80,0.038834951,USA,41WB437,9,TARL
Beta-121729,2,2130,40,0.018779343,USA,41WB437,9,TARL
Tx-76,1,1300,160,0.123076923,USA,41VV82,10,TARL
Tx-78,1,4430,140,0.031602709,USA,41VV82,10,TARL
Tx-79,1,3950,120,0.030379747,USA,41VV82,10,TARL
Tx-81,1,1270,110,0.086614173,USA,41VV82,10,TARL
Tx-38,1,830,100,0.120481928,USA,41VV190,12,TARL
Tx-41,1,6530,620,0.094946401,USA,41VV190,12,TARL
Tx-42,1,5080,310,0.061023622,USA,41VV190,12,TARL
Tx-109,1,6640,120,0.018072289,USA,41VV167,14,TARL
Tx-117,1,5550,130,0.023423423,USA,41VV167,14,TARL
Tx-136,1,3410,80,0.023460411,USA,41VV167,14,TARL
Tx-137,1,4740,140,0.029535865,USA,41VV167,14,TARL
Tx-138,1,6110,110,0.018003273,USA,41VV167,14,TARL
Tx-139,1,6110,170,0.027823241,USA,41VV167,14,TARL
Tx-195,1,4360,120,0.027522936,USA,41VV167,14,TARL
Tx-196,1,4580,110,0.024017467,USA,41VV167,14,TARL
Tx-203,1,4520,120,0.026548673,USA,41VV167,14,TARL
Tx-106,1,2780,110,0.039568345,USA,41VV218,15,TARL
Tx-130,1,1050,140,0.133333333,USA,41VV218,15,TARL
Tx-131,1,2510,100,0.039840637,USA,41VV218,15,TARL
Tx-151,1,1400,130,0.092857143,USA,41VV218,15,TARL
Tx-152,1,7240,220,0.03038674,USA,41VV218,15,TARL
Tx-194,1,1690,80,0.047337278,USA,41VV218,15,TARL
CAMS-94532,1,2135,40,0.018735363,USA,41VV456,17,TARL/CARD
CAMS-95670,1,2125,35,0.016470588,USA,41VV456,17,TARL/CARD
CAMS-95671,1,2120,40,0.018867925,USA,41VV456,17,TARL/CARD
Tx-2865,1,7530,120,0.015936255,USA,41VV456,17,TARL
Tx-2867,1,7950,110,0.013836478,USA,41VV456,17,TARL
Tx-14,2,4505,300,0.066592675,USA,41CM3,18,TARL
Tx-16,2,5405,300,0.055504163,USA,41CM3,18,TARL
RL-829,1,4690,140,0.029850746,USA,41VV213,19,TARL
Tx-73,11,3450,150,0.043478261,USA,41TV87,32,TARL
Tx-74,11,1015,105,0.103448276,USA,41TV87,32,TARL
Tx-7,11,2355,185,0.078556263,USA,41TV48,43,TARL
Tx-8,11,1140,90,0.078947368,USA,41TV48,43,TARL
M-1211,10,2170,130,0.059907834,USA,41A59,68,TARL
RL-1157,10,3300,140,0.042424242,USA,41EP493,69,TARL
RL-1158,10,3640,130,0.035714286,USA,41EP493,69,TARL
RL-1159,10,4100,200,0.048780488,USA,41EP493,69,TARL
RL-1161,10,1600,120,0.075,USA,41EP493,69,TARL
RL-1163,10,3480,140,0.040229885,USA,41EP493,69,TARL
RL-1164,10,3800,140,0.036842105,USA,41EP493,69,TARL
RL-1209,10,2050,110,0.053658537,USA,41EP493,69,TARL
RL-1211,10,1430,120,0.083916084,USA,41EP493,69,TARL
RL-1162,10,1730,120,0.069364162,USA,41EP494,70,TARL
SMU-495,11,670,150,0.223880597,USA,41HI1,110,TARL
SMU-501,11,685,165,0.240875912,USA,41HI1,110,TARL
Tx-100,11,1900,160,0.084210526,USA,41HI1,110,TARL
Tx-98,11,560,80,0.142857143,USA,41HI1,110,TARL
Tx-99,11,560,80,0.142857143,USA,41HI1,110,TARL
Tx-1276,11,360,70,0.194444444,USA,41AN67,111,TARL
SMU-964,11,1587,133,0.083805923,USA,41HE1,112,TARL
Tx-10,11,1410,120,0.085106383,USA,41HI8,114,TARL
Tx-1279,11,640,70,0.109375,USA,41HE80,115,TARL
SI-3197,10,6115,75,0.012264922,USA,41LU26,817,CARD
SI-4172,10,5475,75,0.01369863,USA,41LU26,817,CARD
SI-2700,10,380,40,0.105263158,USA,41LU1,884,TARL
SI-2701,10,505,55,0.108910891,USA,41LU1,884,TARL
SI-2703,10,285,60,0.210526316,USA,41LU1,884,TARL
SI-2704,10,315,50,0.158730159,USA,41LU1,884,TARL
SI-3201,10,1215,65,0.053497942,USA,41LU1,884,CARD
SI-3204,10,7255,75,0.010337698,USA,41LU1,884,CARD
SI-3205,10,5545,100,0.018034265,USA,41LU1,884,CARD
SI-3206,10,3925,80,0.020382166,USA,41LU1,884,CARD
SI-3208,10,640,75,0.1171875,USA,41LU1,884,CARD
SI-4169,10,880,70,0.079545455,USA,41LU1,884,CARD
SI-4171,10,4700,65,0.013829787,USA,41LU1,884,CARD
SI-4174,10,1955,75,0.038363171,USA,41LU1,884,CARD
SI-4175,10,3175,85,0.026771654,USA,41LU1,884,CARD
SI-4176,10,4355,80,0.01836969,USA,41LU1,884,CARD
SI-4178,10,6705,95,0.014168531,USA,41LU1,884,CARD
SI-4588,10,980,60,0.06122449,USA,41LU1,884,CARD
SI-4589,10,655,60,0.091603053,USA,41LU1,884,CARD
SI-4590,10,7365,150,0.020366599,USA,41LU1,884,CARD
SI-4591,10,7245,90,0.01242236,USA,41LU1,884,CARD
SI-4970,10,5010,95,0.018962076,USA,41LU1,884,CARD
SI-4971,10,1910,75,0.039267016,USA,41LU1,884,CARD
SI-4972,10,2500,165,0.066,USA,41LU1,884,CARD
SI-5351,10,1505,50,0.033222591,USA,41LU1,884,TARL
SMU-247,10,7840,170,0.021683673,USA,41LU1,884,CARD
SMU-262,10,7970,80,0.010037641,USA,41LU1,884,CARD
SMU-302,10,7890,100,0.012674271,USA,41LU1,884,CARD
SMU-314,10,720,45,0.0625,USA,41LU1,884,CARD
SMU-345,10,300,60,0.2,USA,41LU1,884,TARL
SMU-492,10,4960,50,0.010080645,USA,41LU1,884,CARD
SMU-531,10,4900,60,0.012244898,USA,41LU1,884,CARD
SMU-534,10,870,40,0.045977011,USA,41LU1,884,CARD
SMU-544,10,6400,80,0.0125,USA,41LU1,884,CARD
SMU-545,10,5770,80,0.013864818,USA,41LU1,884,CARD
SMU-546,10,320,60,0.1875,USA,41LU1,884,TARL
SMU-555,10,220,50,0.227272727,USA,41LU1,884,TARL
SMU-648,10,7100,80,0.011267606,USA,41LU1,884,CARD
SMU-651,10,890,70,0.078651685,USA,41LU1,884,CARD
SMU-697,10,2600,50,0.019230769,USA,41LU1,884,CARD
SMU-698,10,600,50,0.083333333,USA,41LU1,884,CARD
SMU-716,10,210,40,0.19047619,USA,41LU1,884,TARL
SMU-827,10,7980,180,0.022556391,USA,41LU1,884,CARD
SMU-831,10,390,50,0.128205128,USA,41LU1,884,CARD
SMU-968,10,440,40,0.090909091,USA,41LU1,884,TARL
SMU-970,10,380,50,0.131578947,USA,41LU1,884,TARL
M-112,14,340,75,0.220588235,USA,9CK5,1085,CARD
C-933,14,2104,140,0.066539924,USA,9HL64,1086,CARD
SI-1897,10,1485,70,0.047138047,USA,41SW23,1171,TARL
SI-1898,10,1240,65,0.052419355,USA,41SW23,1171,TARL
SI-1899,10,1740,40,0.022988506,USA,41SW23,1171,TARL
SI-1900,10,1830,60,0.032786885,USA,41SW23,1171,TARL
SI-1901,10,630,140,0.222222222,USA,41SW23,1171,TARL
Tx-255,20,1250,90,0.072,USA,41HC3,1492,TARL
WIS-134,20,650,70,0.107692308,USA,41HC6,1544,TARL
WIS-141,20,580,70,0.120689655,USA,41HC6,1544,TARL
RL-311,24,800,100,0.125,USA,15JO14b,2629,CARD
WIS-886,32,7600,80,0.010526316,USA,13CK405,6260,CARD
WIS-888,32,7490,80,0.010680908,USA,13CK405,6260,CARD
WIS-284,32,390,50,0.128205128,USA,13CK28,6273,CARD
ISGS-2980,32,910,70,0.076923077,USA,13CK21,6309,CARD
M-1096,32,850,100,0.117647059,USA,13CK21,6309,CARD
WIS-10,32,900,90,0.1,USA,13CK21,6309,CARD
WIS-11,32,960,100,0.104166667,USA,13CK21,6309,CARD
WIS-13,32,1140,100,0.087719298,USA,13CK21,6309,CARD
WIS-14,32,850,90,0.105882353,USA,13CK21,6309,CARD
WIS-26,32,600,100,0.166666667,USA,13CK21,6309,CARD
WIS-8,32,1000,70,0.07,USA,13CK21,6309,CARD
WIS-9,32,1020,80,0.078431373,USA,13CK21,6309,CARD
WIS-453,32,750,50,0.066666667,USA,13CK15,6312,CARD
WIS-456,32,925,55,0.059459459,USA,13CK15,6312,CARD
WIS-461,32,1010,55,0.054455446,USA,13CK15,6312,CARD
WIS-463,32,950,55,0.057894737,USA,13CK15,6312,CARD
WIS-464,32,1000,55,0.055,USA,13CK15,6312,CARD
WIS-468,32,925,75,0.081081081,USA,13CK15,6312,CARD
WIS-469,32,810,70,0.086419753,USA,13CK15,6312,CARD
WIS-473,32,1020,55,0.053921569,USA,13CK15,6312,CARD
WIS-480,32,990,55,0.055555556,USA,13CK15,6312,CARD
WIS-482,32,950,55,0.057894737,USA,13CK15,6312,CARD
WIS-496,32,875,60,0.068571429,USA,13CK15,6312,CARD
WIS-497,32,1025,55,0.053658537,USA,13CK15,6312,CARD
WIS-505,32,910,60,0.065934066,USA,13CK15,6312,CARD
WIS-511,32,1015,55,0.054187192,USA,13CK15,6312,CARD
WIS-536,32,1000,60,0.06,USA,39HT1,6809,CARD
Grey-30,30,4960,180,0.036290323,USA,48JO301,7025,CARD
Grey-19,30,3760,167,0.044414894,USA,48JO306,7205,CARD
WIS-1368,48,830,70,0.084337349,USA,39RO5,7589,CARD
WIS-1370,48,650,70,0.107692308,USA,39RO5,7589,CARD
CAMS-85492,1,920,35,0.038043478,USA,41VV456,17,TARL/CARD
CAMS-88193,1,940,40,0.042553191,USA,41VV456,17,TARL/CARD
CAMS-89606,1,955,30,0.031413613,USA,41VV456,17,TARL/CARD
CAMS-91407,1,940,35,0.037234043,USA,41VV456,17,TARL/CARD
CAMS-93683,1,970,35,0.036082474,USA,41VV456,17,TARL/CARD
CAMS-96373,1,905,35,0.038674033,USA,41VV456,17,TARL/CARD
Beta-121862,2,4920,50,0.010162602,USA,41WB437,9,TARL
Beta-121863,2,2740,50,0.018248175,USA,41WB437,9,TARL
WIS-2154,32,870,40,0.045977011,USA,25HL28,4768,CARD
Beta-43330,2,4135,70,0.016928658,USA,41BX831,7,TARL/CARD
WIS-882,32,7340,75,0.010217984,USA,13CK405,6260,CARD
WIS-1274,32,790,70,0.088607595,USA,13CK21,6309,CARD
WIS-1711,32,1750,80,0.045714286,USA,39HT30,6755,CARD
Beta-121861,2,3460,40,0.011560694,USA,41WB437,9,TARL
WIS-926,32,1130,70,0.061946903,USA,13CK1,6386,CARD
CAMS-85491,1,2095,50,0.023866348,USA,41VV456,17,TARL/CARD
CAMS-92188,1,2155,40,0.018561485,USA,41VV456,17,TARL/CARD
CAMS-96372,1,2140,40,0.018691589,USA,41VV456,17,TARL/CARD
Beta-124391,2,3060,60,0.019607843,USA,41WB437,9,TARL
Beta-106327,2,2130,40,0.018779343,USA,41WB437,9,TARL
Beta-121727,2,2120,40,0.018867925,USA,41WB437,9,TARL
A-14739.1,10,490,45,0.091836735,USA,41GR120-3,732,TARL
A-14741.1,10,465,40,0.086021505,USA,41GR120-3,732,TARL
WIS-890,32,7770,80,0.01029601,USA,13CK405,6260,CARD
Beta-106325,2,3240,50,0.015432099,USA,41WB437,9,TARL
BX-14449,10,1180,210,0.177966102,USA,41GR559,749,TARL/CARD
A-14740.1,10,530,35,0.066037736,USA,41GR120-3,732,TARL
Beta-121730,2,1950,50,0.025641026,USA,41WB437,9,TARL
Beta-121728,2,2470,50,0.020242915,USA,41WB437,9,TARL
A-14740,10,285,40,0.140350877,USA,41GR120-3,732,TARL
A-14741,10,240,40,0.166666667,USA,41GR120-3,732,TARL
Beta-124390,2,900,50,0.055555556,USA,41WB437,9,TARL
Beta-124389,2,2290,60,0.026200873,USA,41WB437,9,TARL
L-283H,10,7845,200,0.025493945,USA,41LU1,884,TARL
SMU-332-333,10,4990,50,0.01002004,USA,41LU1,884,TARL
RL-573,10,1600,110,0.06875,USA,41HL65,1095,TARL
RL-570,10,1200,100,0.083333333,USA,41HL1,1096,TARL
RL-571,10,2010,110,0.054726368,USA,41HL64,1097,TARL
RL-572,10,1060,100,0.094339623,USA,41CG31,1303,TARL
RL-322,24,1140,90,0.078947368,USA,15JO14b,2629,CARD
WIS-1273,32,720,70,0.097222222,USA,13CK21,6309,CARD
I-779,48,1450,110,0.075862069,USA,39RO23,7707,CARD
CAMS-93678,1,2170,45,0.020737327,USA,41VV456,17,TARL/CARD
CAMS-93679,1,2155,45,0.020881671,USA,41VV456,17,TARL/CARD
CAMS-96374,1,2120,35,0.016509434,USA,41VV456,17,TARL/CARD
CAMS-86525,1,2210,45,0.020361991,USA,41VV456,17,TARL/CARD
CAMS-88194,1,2125,40,0.018823529,USA,41VV456,17,TARL/CARD
CAMS-91410,1,2095,40,0.019093079,USA,41VV456,17,TARL/CARD
CAMS-96371,1,2115,35,0.016548463,USA,41VV456,17,TARL/CARD
Beta-178759,10,270,40,0.148148148,USA,41MT2,113,TARL
Tx-46,1,2550,210,0.082352941,USA,41VV218,15,TARL
Tx-47,1,3050,110,0.036065574,USA,41VV218,15,TARL
SMU-309,10,4710,50,0.010615711,USA,41LU1,884,TARL
Beta-178755,10,290,50,0.172413793,USA,41MT2,113,TARL
Tx-40,1,3320,120,0.036144578,USA,41VV190,12,TARL
Tx-15,2,4445,205,0.046119235,USA,41CM3,18,TARL
Beta-122720,2,1740,40,0.022988506,USA,41WB437,9,TARL
Tx-1116A,2,860,50,0.058139535,USA,41BO15,3,TARL
CAMS-87685,2,5135,40,0.007789679,USA,41BO-?,5,CARD
CAMS-87686,2,4870,40,0.008213552,USA,41BO-?,5,CARD
Beta–302686,2,3840,30,0.0078125,USA,41DW277,6,TARL
Beta–302687,2,2590,30,0.011583012,USA,41DW277,6,TARL
Beta–302688,2,3750,30,0.008,USA,41DW277,6,TARL
Beta–302690,2,3820,30,0.007853403,USA,41DW277,6,TARL
Beta–302691,2,5260,30,0.005703422,USA,41DW277,6,TARL
Beta–302693,2,4720,40,0.008474576,USA,41DW277,6,TARL
Beta–302694,2,5030,40,0.007952286,USA,41DW277,6,TARL
Beta–302695,2,3020,30,0.009933775,USA,41DW277,6,TARL
Beta–302696,2,3460,30,0.00867052,USA,41DW277,6,TARL
Beta-36702,2,3090,70,0.022653722,USA,41BX831,7,TARL/CARD
GX-21746,2,4430,55,0.01241535,USA,41BX831,7,TARL/CARD
Beta-10472,1,390,80,0.205128205,USA,41VV620,13,TARL
Beta-10532,1,4030,100,0.024813896,USA,41VV620,13,CARD
Beta-10533,1,3970,90,0.022670025,USA,41VV620,13,CARD
Tx-2315,1,7220,60,0.008310249,USA,41VV456,17,TARL
Tx-2316,1,6750,100,0.014814815,USA,41VV456,17,TARL
Tx-2458,1,5590,70,0.012522361,USA,41VV456,17,TARL
Tx-2459,1,5710,80,0.014010508,USA,41VV456,17,TARL
Tx-2732,1,6230,90,0.014446228,USA,41VV456,17,TARL
Tx-2733,1,1820,70,0.038461538,USA,41VV456,17,TARL
Tx-2735,1,6160,80,0.012987013,USA,41VV456,17,TARL
Tx-2736,1,7490,100,0.013351135,USA,41VV456,17,TARL
Tx-2738,1,7470,120,0.016064257,USA,41VV456,17,TARL
Tx-2740,1,3840,70,0.018229167,USA,41VV456,17,TARL
Tx-2741,1,3780,70,0.018518519,USA,41VV456,17,TARL
Tx-2742,1,4510,70,0.015521064,USA,41VV456,17,TARL
Tx-2743,1,4990,70,0.014028056,USA,41VV456,17,TARL
Tx-2744,1,6540,70,0.010703364,USA,41VV456,17,TARL
Tx-2746,1,2280,60,0.026315789,USA,41VV456,17,TARL
Tx-2747,1,4760,70,0.014705882,USA,41VV456,17,TARL
Tx-2748,1,3680,80,0.02173913,USA,41VV456,17,TARL
Tx-2749,1,4410,70,0.015873016,USA,41VV456,17,TARL
Tx-2750,1,4610,70,0.015184382,USA,41VV456,17,TARL
Tx-2751,1,6950,90,0.01294964,USA,41VV456,17,TARL
Beta-14733,1,6510,80,0.012288786,USA,41VV213,19,TARL/CARD
Beta-216434,11,4760,40,0.008403361,USA,41TV410,28,TARL
Beta-216435,11,4830,40,0.008281573,USA,41TV410,28,TARL
Beta-216436,11,2220,40,0.018018018,USA,41TV410,28,TARL
Beta-216438,11,4700,40,0.008510638,USA,41TV410,28,TARL
Beta-216439,11,2180,40,0.018348624,USA,41TV410,28,TARL
Beta-216440,11,4820,40,0.008298755,USA,41TV410,28,TARL
Beta-216441,11,5170,40,0.007736944,USA,41TV410,28,TARL
UGAMS-5049,11,4900,30,0.006122449,USA,41TV410,28,TARL
Beta-212808,11,5320,40,0.007518797,USA,41TV540,29,TARL
Beta-212809,11,5240,40,0.007633588,USA,41TV540,29,TARL
Beta-212810,11,5300,40,0.00754717,USA,41TV540,29,TARL
Beta-212815,11,5320,40,0.007518797,USA,41TV540,29,TARL
Beta-212816,11,5310,40,0.007532957,USA,41TV540,29,TARL
Beta-216442,11,5320,40,0.007518797,USA,41TV540,29,TARL
O-1105,11,6750,150,0.022222222,USA,41TV49,41,TARL
O-1128,11,7350,150,0.020408163,USA,41TV49,41,TARL
Tx-75,11,920,200,0.217391304,USA,41TV48,43,TARL/CARD
Beta-79699,11,5560,60,0.010791367,USA,41WM235,60,Erick
Beta-79700,11,5520,80,0.014492754,USA,41WM235,60,Erick
Beta-79803,11,4880,70,0.014344262,USA,41WM235,60,Erick
Beta-81106,11,3780,70,0.018518519,USA,41WM235,60,TARL
CAMS-10196,11,4440,60,0.013513514,USA,41WM235,62,TARL/CARD
CAMS-13840,11,7870,60,0.007623888,USA,41WM235,62,TARL/CARD
CAMS-13841,11,7890,60,0.007604563,USA,41WM235,62,TARL/CARD
CAMS-13844,11,7890,80,0.010139417,USA,41WM235,62,TARL/CARD
CAMS-18639,11,1990,60,0.030150754,USA,41WM235,62,TARL/CARD
CAMS-8355,11,7990,60,0.007509387,USA,41WM235,62,TARL/CARD
ETH-14115,11,3780,70,0.018518519,USA,41WM235,62,TARL/CARD
M-748,11,5940,520,0.087542088,USA,41WM235,62,TARL/CARD
M-749,11,6700,460,0.068656716,USA,41WM235,62,TARL/CARD
M-751,11,5860,270,0.046075085,USA,41WM235,62,TARL/CARD
M-752,11,5440,420,0.077205882,USA,41WM235,62,TARL/CARD
M-753,11,1270,280,0.220472441,USA,41WM235,62,TARL/CARD
Tx-4798,11,7470,230,0.030789826,USA,41WM235,62,TARL/CARD
M-747,11,4650,310,0.066666667,USA,41WM235,62,TARL/CARD
Tx-802,11,7000,160,0.022857143,USA,41WM133,63,TARL/CARD
Tx-803,11,7190,80,0.011126565,USA,41WM133,63,TARL/CARD
Tx-805,11,6900,110,0.015942029,USA,41WM133,63,TARL/CARD
Beta-55906,10,730,70,0.095890411,USA,41HH23,71,TARL
Tx-4757,10,2070,110,0.053140097,USA,41TG91,74,TARL
Tx-4758,10,2370,70,0.029535865,USA,41TG91,74,TARL
Tx-4759,10,520,60,0.115384615,USA,41TG91,74,TARL
Tx-4760,10,2180,60,0.027522936,USA,41TG91,74,TARL
Tx-4761,10,2480,60,0.024193548,USA,41TG91,74,TARL
Tx-4764,10,2540,80,0.031496063,USA,41TG91,74,CARD
Tx-4764A,10,2540,80,0.031496063,USA,41TG91,74,TARL
Tx-4764B,10,2910,270,0.092783505,USA,41TG91,74,TARL
Beta-147209,8,1460,40,0.02739726,USA,DD:1:75,75,CARD
Beta-147210,8,700,40,0.057142857,USA,DD:2:53,76,CARD
Beta-147211,8,670,40,0.059701493,USA,DD:2:53,76,CARD
A-89A,8,3180,300,0.094339623,USA,EE:2:35,88,CARD
A-89B,8,2620,200,0.076335878,USA,EE:2:35,88,CARD
A-89C,8,2520,300,0.119047619,USA,EE:2:35,88,CARD
Tx-6165,10,7530,150,0.019920319,USA,41RG13,100,CARD
Beta-142727,8,1190,50,0.042016807,USA,Z:,420,CARD
Beta-142728,8,1620,50,0.030864198,USA,Z:,420,CARD
Beta-208379,8,1900,40,0.021052632,USA,Z:,420,CARD
Beta-217124,8,1370,40,0.02919708,USA,Z:,420,CARD
Beta-217125,8,2380,40,0.016806723,USA,Z:,420,CARD
Beta-248529,8,1380,40,0.028985507,USA,Z:,420,CARD
Beta-275052,8,560,40,0.071428571,USA,Z:,420,CARD
Beta-362394,8,1230,30,0.024390244,USA,Z:,420,CARD
Beta-362395,8,1560,30,0.019230769,USA,Z:,420,CARD
Beta-362396,8,1600,30,0.01875,USA,Z:,420,CARD
Beta-362397,8,1560,30,0.019230769,USA,Z:,420,CARD
C-519,8,2463,310,0.125862769,USA,Z:,420,CARD
Beta-168792,8,1440,70,0.048611111,USA,AA:12:111,438,CARD
Beta-183643,8,1340,40,0.029850746,USA,AA:12:170,439,CARD
Beta-200130,8,1630,40,0.024539877,USA,AA:12:252,442,CARD
Beta-208862,8,1350,40,0.02962963,USA,AA:12:252,442,CARD
Beta-260053,8,770,40,0.051948052,USA,AA:12:312,444,CARD
Beta-260054,8,1400,40,0.028571429,USA,AA:12:312,444,CARD
Beta-260056,8,670,40,0.059701493,USA,AA:12:312,444,CARD
Beta-275670,8,590,40,0.06779661,USA,AA:12:312,444,CARD
Beta-154669,8,2380,40,0.016806723,USA,AA:12:374,445,CARD
Beta-193388,8,2890,40,0.01384083,USA,AA:12:51,450,CARD
Beta-208857,8,1490,40,0.026845638,USA,AA:12:51,450,CARD
Beta-208858,8,2840,40,0.014084507,USA,AA:12:51,450,CARD
Beta-208859,8,2790,40,0.014336918,USA,AA:12:51,450,CARD
Beta-208861,8,2850,40,0.014035088,USA,AA:12:51,450,CARD
Beta-183646,8,1450,40,0.027586207,USA,AA:12:83,455,CARD
Beta-191669,8,1340,30,0.02238806,USA,AA:12:85,456,CARD
Beta-328497,8,450,30,0.066666667,USA,AA:12:890,457,CARD
Beta-295401,8,2100,30,0.014285714,USA,AA:12:91,459,CARD
Beta-295402,8,2090,30,0.014354067,USA,AA:12:91,459,CARD
Beta-295403,8,2200,30,0.013636364,USA,AA:12:91,459,CARD
Beta-295404,8,2180,30,0.013761468,USA,AA:12:91,459,CARD
Beta-295405,8,1260,30,0.023809524,USA,AA:12:91,459,CARD
Beta-295406,8,2110,30,0.014218009,USA,AA:12:91,459,CARD
Beta-295407,8,2570,30,0.011673152,USA,AA:12:91,459,CARD
Beta-295408,8,2120,30,0.014150943,USA,AA:12:91,459,CARD
Beta-296995,8,2220,30,0.013513514,USA,AA:12:91,459,CARD
Beta-305519,8,2550,30,0.011764706,USA,AA:12:91,459,CARD
Beta-305521,8,2140,30,0.014018692,USA,AA:12:91,459,CARD
Beta-305523,8,2160,30,0.013888889,USA,AA:12:91,459,CARD
Beta-305524,8,2210,30,0.013574661,USA,AA:12:91,459,CARD
Beta-305525,8,2210,40,0.018099548,USA,AA:12:91,459,CARD
Beta-161847,8,1430,50,0.034965035,USA,AA:12:92,460,CARD
Beta-161848,8,680,40,0.058823529,USA,AA:12:92,460,CARD
Beta-161850,8,3730,40,0.010723861,USA,AA:12:92,460,CARD
Beta-161853,8,4080,50,0.012254902,USA,AA:12:92,460,CARD
Beta-203476,8,2490,40,0.016064257,USA,AA:12:96,461,CARD
Beta-203477,8,2550,40,0.015686275,USA,AA:12:96,461,CARD
Beta-377669,8,1250,30,0.024,USA,AA:14:2,462,CARD
Beta-377671,8,1030,30,0.029126214,USA,AA:14:25,463,CARD
Beta-377664,8,900,30,0.033333333,USA,AA:14:34,464,CARD
Beta-377665,8,830,30,0.036144578,USA,AA:14:36,465,CARD
Beta-377666,8,840,30,0.035714286,USA,AA:14:38,466,CARD
Beta-325981,8,930,30,0.032258065,USA,AA:14:39,467,CARD
Beta-325982,8,230,30,0.130434783,USA,AA:14:39,467,CARD
Beta-325983,8,440,30,0.068181818,USA,AA:14:39,467,CARD
Beta-325984,8,130,30,0.230769231,USA,AA:14:39,467,CARD
Beta-325986,8,2420,30,0.012396694,USA,AA:14:39,467,CARD
Beta-325987,8,220,30,0.136363636,USA,AA:14:39,467,CARD
Beta-325988,8,2780,30,0.010791367,USA,AA:14:39,467,CARD
Beta-325989,8,180,30,0.166666667,USA,AA:14:39,467,CARD
Beta-325990,8,200,30,0.15,USA,AA:14:39,467,CARD
Beta-325994,8,640,30,0.046875,USA,AA:14:39,467,CARD
Beta-160621,8,1330,40,0.030075188,USA,AA:16:410,469,CARD
Beta-160624,8,1250,40,0.032,USA,AA:16:410,469,CARD
Beta-247471,8,3440,40,0.011627907,USA,AA:16:468,470,CARD
Beta-247472,8,300,40,0.133333333,USA,AA:16:468,470,CARD
Beta-247473,8,2450,40,0.016326531,USA,AA:16:468,470,CARD
Beta-247474,8,2470,40,0.016194332,USA,AA:16:468,470,CARD
AA-673,8,4300,310,0.072093023,USA,AA:3:16,474,CARD
AA-675,8,4000,220,0.055,USA,AA:3:16,474,CARD
Beta-356090,8,1410,30,0.021276596,USA,AA:8:351,486,CARD
Beta-356091,8,1670,30,0.017964072,USA,AA:8:351,486,CARD
Beta-360265,8,1380,30,0.02173913,USA,AA:8:351,486,CARD
Beta-360266,8,810,30,0.037037037,USA,AA:8:351,486,CARD
Beta-195810,8,630,40,0.063492063,USA,BB:13:1,489,CARD
Beta-195811,8,580,40,0.068965517,USA,BB:13:1,489,CARD
Beta-355947,8,1550,30,0.019354839,USA,BB:13:111,490,CARD
Beta-355948,8,1600,30,0.01875,USA,BB:13:111,490,CARD
Beta-355949,8,1540,30,0.019480519,USA,BB:13:111,490,CARD
Beta-355950,8,1580,30,0.018987342,USA,BB:13:111,490,CARD
Beta-355951,8,1500,30,0.02,USA,BB:13:111,490,CARD
