labnumber,Sbox,date,sd,Country,Site,SiteID,Source
DIC-2521,32,3600,305,USA,13ML-VP,4773,CARD
GX-14673,87,6180,305,USA,AKKOD363,10048,CARD
UGa-240,23,7265,305,USA,15TR33,1993,CARD
TBN-311,11,5032,304,USA,34CD50,1300,Erick
C-698,2,1212,300,USA,41UV2,8,TARL
Tx-14,2,4505,300,USA,41CM3,18,TARL
Tx-16,2,5405,300,USA,41CM3,18,TARL
A-89A,8,3180,300,USA,EE:2:35,88,CARD
A-89C,8,2520,300,USA,EE:2:35,88,CARD
SM-775,11,6030,300,USA,34Cm131,1228,Erick
GSC-803,45,5490,300,check GIS,DkPj-1,9053,CARD
AA-739,7,2490,300,USA,CA-IMP-108,729,CARD
M-646,16,3080,300,USA,CA-SJO-68,2689,CARD
UCR-137,16,3630,300,USA,CA-CAL-237,2898,CARD
WSU-1072,29,6270,300,USA,10LH23,7470,CARD
S-2066,95,1400,300,check GIS,IgPc-2,10112,CARD
GaK-2300,157,2260,300,USA,AKBAR013,10753,CARD
K-505,149,3780,300,check GIS,NiHf-1,10645,CARD
UQ-732,81,3500,300,check GIS,EiBi-5,9447,CARD
LJ-5,7,3100,300,check GIS,SUNK-1626,72,CARD
A-86A,8,3080,300,USA,EE:2:30,87,CARD
A-86C,8,3180,300,USA,EE:2:30,87,CARD
A-88a,8,2980,300,USA,EE:2:35,88,CARD
AA-840,7,4240,300,USA,CA-SDI-10940,662,CARD
A-771,8,1810,300,USA,U:13:1,854,CARD
Beta-90100,7,7380,300,USA,CA-RIV-5786,918,CARD
L-187B,16,3400,300,USA,CA-SMA-77,2408,CARD
M-121,16,2700,300,USA,CA-ALA-307,2475,CARD
M-122,16,3210,300,USA,CA-ALA-307,2475,CARD
M-123,16,2880,300,USA,CA-ALA-307,2475,CARD
M-126,16,3140,300,USA,CA-ALA-307,2475,CARD
M-127,16,3700,300,USA,CA-ALA-307,2475,CARD
UCLA-295,17,4360,300,USA,26EK11,2566,CARD
M-376,17,4050,300,USA,26CK,3385,CARD
C-451,30,5020,300,USA,5LR13,4672,CARD
M-1087,29,6840,300,USA,10JE6,6940,CARD
AA-379,44,3270,300,USA,45FR46H,7982,CARD
Tx-3150,19,4430,300,USA,5GN205,3088,CARD
M-2045,23,1720,300,USA,12HN1,4214,CARD
RL-1261,35,6490,300,USA,36SO153,4408,CARD
SI-312,33,1790,300,USA,13AN10,4759,CARD
GX-9277,37,4135,300,USA,19BR214,5527,CARD
C-809,37,4500,300,USA,19PL161,5533,CARD
C-604,31,7073,300,USA,39FA65,6742,CARD
DIC-2202,27,2150,300,USA,35DS86,6945,CARD
GaK-2240-43,43,7890,300,USA,35GM9,7711,CARD
S-1040,112,2560,300,USA,AKKEN029,10180,CARD
UGa-530,113,5480,300,USA,AKXMH072,10321,CARD
B-650,113,1790,300,USA,AKXMH005,10349,CARD
W-1180,59,7660,300,USA,AKSAM012,9628,CARD
Beta-2333,44,4200,300,USA,35UN52,7563,CARD
NSRL-298,22,7100,300,USA,11GE-?,3654,CARD
C-254,23,5382,300,USA,15OH2,2215,CARD
C-738,23,4369,300,USA,15BT5,2232,CARD
UM-463,31,3670,300,USA,25FT80,4489,CARD
C-116,23,5424,300,USA,15BT5,2232,CARD
AA-324,25,4160,300,USA,18KE17,3612,CARD
LJ-609,27,2530,300,USA,35CS11,6627,CARD
LJ-211,7,4020,300,USA,CA-SDI-59,716,CARD
W-2213,44,7980,300,USA,45FR50,7985,CARD
WSU-120,44,7550,300,USA,45FR50,7985,CARD
WSU-207,44,4250,300,USA,45FR50,7985,CARD
WSU-210,44,7870,300,USA,45FR50,7985,CARD
CAMS-3174,93,7400,300,check GIS,HbRf-39,9922,CARD
WSU-507,43,1495,300,USA,45CA24,8351,CARD
UCLA-2117E,23,1820,300,USA,15OH13,2422,CARD
DIC-109,24,4810,300,USA,33GA16,3306,CARD
DIC-887A,24,1680,300,USA,33WA82,3795,CARD
A-2622,35,2850,300,USA,33LA-?,5296,CARD
M-563,8,3530,300,USA,Z:,420,CARD
W-1122,115,3720,300,check GIS,JfVg-1,10206,CARD
W-1123,115,3470,300,check GIS,JfVg-1,10206,CARD
WSU-3497,44,5700,296,USA,10IH1639,7764,CARD
UGa-5083,159,5915,295,USA,AKXBP033,10705,CARD
S-2242,46,1425,295,check GIS,DhOc-8,8882,CARD
S-2847,73,3300,295,check GIS,EaLf-1,9155,CARD
I-2089,123,2040,295,check GIS,JjLl-1c,10248,CARD
S-693,71,3650,295,check GIS,EcNx-1a,9197,CARD
UGa-2386,36,5565,295,USA,36CL52,4881,CARD
S-2798,72,2665,290,check GIS,EeMw-26,9287,CARD
SFU-355,93,6700,290,check GIS,HbRf-39,9922,CARD
WSU-1070,29,6870,290,USA,10LH23,7470,CARD
RL-1403,45,3610,290,USA,24BW675,7937,CARD
A-2223,32,1380,290,USA,39BK7,7217,CARD
GX-10865,73,1490,290,check GIS,EaLf-1,9155,CARD
GX-4203,135,3000,290,USA,AKBET040,10467,CARD
Beta-12270,8,3920,290,USA,AA:3:28,479,CARD
LJ-202,7,6300,290,USA,CA-SDI-149,693,CARD
RL-1374,16,7180,290,USA,CA-SCR-177,2031,CARD
WSU-1185,43,3030,290,USA,45CH64,8314,CARD
S-3442,139,1310,290,check GIS,MlTk-2,10523,CARD
SMU-507,22,7260,290,USA,23BE125,2832,CARD
Tx-3618,19,4290,290,USA,5GN10,3226,CARD
Tx-2546,16,4300,290,USA,CAPla164,3709,CARD
I-11390,25,3160,290,USA,28SA-?,3970,Erick
OWU-265,35,2955,290,USA,33ER85,4897,CARD
GX-7509,37,7670,290,USA,19PL-?,5602,CARD
Beta-2176,44,6100,290,USA,35UN95,7528,CARD
A-4051,7,7140,290,USA,CA-SBR-4966,1273,CARD
AA-649,7,7150,290,USA,CA-SBR-4966,1273,CARD
AA-819,11,5130,290,USA,34CD50,1298,CARD
AA-405,17,7140,290,USA,CASBr4966,1421,CARD
S-1927,52,1790,290,check GIS,DdGt-5,8676,CARD
WAT-410,81,1840,290,check GIS,EjAv-1,9459,CARD
AA-849,7,6610,290,USA,CA-SDI-10940,662,CARD
Beta-22263,24,3960,290,USA,46MS150,3299,CARD
UCLA-2589D,35,3495,290,USA,33CS-?,4467,CARD
DIC-564,35,1880,285,check GIS,AbHs-___1,5639,CARD
DIC-845,72,1260,285,check GIS,FbMb-1,9550,CARD
UGa-3528,24,1620,285,USA,15LW316a,3108,CARD
WSU-931,29,2000,285,USA,10LH45,7473,CARD
M-753,11,1270,280,USA,41WM235,62,TARL/CARD
GX-1769,70,6960,280,check GIS,EbPd-?,9180,CARD
AA-753,11,1270,280,USA,41WM235,60,Erick
AA-756,7,6330,280,USA,CA-SDI-,653,CARD
RL-1277,70,6900,280,check GIS,EgPm-179,9383,CARD
GX-2245,59,6260,280,USA,AKSAM012,9628,CARD
QU-221,53,1790,280,check GIS,BlFh-1,7804,CARD
I-13810,53,6580,280,check GIS,CeEu-10,8030,CARD
UGa-2110,8,1450,280,USA,Z:,420,CARD
RL-55,29,7040,280,USA,42TO108,4758,Erick
Beta-20049,44,2920,280,USA,45DO193,8258,CARD
P-105,110,4040,280,USA,AKNOB002,10395,CARD
SFU-251,23,4420,280,USA,15LV-?,2156,CARD
ISGS-839,22,7970,280,USA,11RA501,2807,CARD
SI-259,25,1630,280,USA,18MO3,3571,CARD
Tx-1730,17,3810,280,USA,26PE118,3942,CARD
PITT-122,35,6315,280,USA,36WH297,4456,CARD
DIC-877,32,3400,280,USA,13ML-VP,4773,CARD
I-803,32,6900,280,USA,25BT3,5437,CARD
GX-7474,37,5640,280,USA,19BR187,5523,CARD
GX-9279,37,3740,280,USA,19BR214,5527,CARD
BS-227,37,4290,280,USA,19WR268,5722,CARD
C-930,31,2675,280,USA,25SX101,5837,CARD
GX-1746,37,7740,280,USA,NH,6436,CARD
WSU-228,27,7910,280,USA,35LIN11,7255,CARD
M-2073,50,1880,280,USA,20DE-?,7677,CARD
S-878,43,1240,280,check GIS,DeRv-107,8696,CARD
SFU-128,43,3400,280,check GIS,DgRv-9,8794,CARD
S-1999,67,1840,280,check GIS,FdSi-11,9452,CARD
S-1887,69,2880,280,check GIS,FlQs-30,9702,CARD
S-2875,119,1635,280,check GIS,JePw-1,10204,CARD
GX-2159,114,6645,280,USA,AKXBD020,10371,CARD
AA-798,7,4360,280,USA,CA-SBR-4966,1273,CARD
AA-800,7,7400,280,USA,CA-SBR-4966,1273,CARD
Pitt-400,25,1140,280,USA,7K-F-17,3558,CARD
RIDDL-101,43,3370,280,USA,DeRt-2,8695,CARD
UCR-432,7,6900,280,USA,CA-SDI-4392,705,CARD
Beta-29444,30,4700,280,USA,48FR2330,6492,CARD
Beta-6723,37,4730,280,USA,CT41-60,5085,CARD
Beta-24093,27,3120,280,USA,35LA420,7102,CARD
C-560,133,5993,280,USA,AKBEN001,10425,CARD
GSC-2071,81,1780,280,check GIS,EjAv-1,9459,CARD
IVC-2,7,3055,276,USA,CA-ORA-185,891,CARD
GX-16704,54,5070,275,check GIS,ME95.20,7531,CARD
I-809,43,1790,275,USA,35GM9,7711,CARD
DIC-846,72,1270,275,check GIS,FbMb-1,9550,CARD
WSU-725,85,1725,275,USA,AKXHI001,10101,CARD
UGa-2424,19,1760,275,USA,5RB726,4273,CARD
M-751,11,5860,270,USA,41WM235,62,TARL/CARD
Tx-4764B,10,2910,270,USA,41TG91,74,TARL
UCR-604,32,8000,270,USA,13CK405,6260,CARD
AA-751,11,5860,270,USA,41WM235,60,Erick
AA-755,7,5290,270,USA,CA-SDI-,653,CARD
AA-737,7,3930,270,USA,CA-IMP-108,729,CARD
CAMS-124287,135,1700,270,USA,49KIR419,10548,CARD
Beta-9883,37,1250,270,USA,VTCH5,7219,CARD
S-2034,71,4140,270,check GIS,FhNg-25,9643,CARD
SFU-167,95,2190,270,check GIS,IgPc-2,10112,CARD
S-2005,142,1840,270,check GIS,MdPs-7,10446,CARD
C-515,9,4006,270,USA,FF:10:1,97,CARD
AA-1140,8,3890,270,USA,Z:,420,CARD
A-3749,8,1130,270,USA,BB:,487,CARD
A-3750,8,2470,270,USA,BB:,487,CARD
BETA-57405,19,3240,270,USA,42SA8477,2845,Erick
Beta-71636,16,7320,270,USA,CA-LAK-1682,3584,CARD
QC-294,28,5410,270,USA,26NY345,4513,CARD
Tx-3503,44,1620,270,USA,45ST94,8440,CARD
Tx-3656,28,4620,270,USA,10OE1689,6100,CARD
GaK-2130,27,3720,270,USA,35LK50,6304,CARD
S-1028,36,4715,270,check GIS,BbGn-___2,7119,CARD
S-1821,36,1870,270,USA,BbGa-___2,7200,CARD
S-1841,36,7600,270,check GIS,BfGa-__11,7427,CARD
I-1472,27,5250,270,USA,35PO10,7448,CARD
Beta-8418,37,7970,270,USA,VTFR140,7463,CARD
DIC-650,51,3360,270,USA,20EM-?,7594,CARD
Tx-4084,47,3430,270,USA,39HN204,7720,CARD
Tx-2849,43,1200,270,USA,45PI13,8070,CARD
BGS-1421,43,1970,270,USA,DhRp-52,8839,CARD
BGS-1462,43,2720,270,USA,DhRp-52,8839,CARD
SFU-92,43,3300,270,USA,DhRq-21,8873,CARD
BGS-1333,66,2050,270,check GIS,FaTs-20,9520,CARD
Beta-5746,106,5210,270,check GIS,GhBt-1,9846,CARD
WSU-3242,91,7360,270,USA,AKCRG237,9883,CARD
Beta-14499,87,3850,270,USA,AKKOD324,10055,CARD
WSU-452,85,1260,270,USA,AKXHI001,10101,CARD
I-4592,113,4100,270,USA,AKXMH166,10315,CARD
AA-1688,113,7430,270,USA,AKHEA137,10368,CARD
FSU-102,14,1540,270,USA,9RI4,881,CARD
UCLA-1425A,16,4400,270,USA,CASMa-?,2383,CARD
S-2235,46,5910,270,check GIS,DkNu-3,9055,CARD
I-6334,50,2540,270,USA,47DR128,7593,CARD
AA-757,7,5110,270,USA,CA-SDI-,653,CARD
UGa-1708,23,2860,270,USA,15WA916,2012,CARD
DIC-1040,24,2510,270,USA,33WA112,3790,CARD
Beta-67413,35,3970,270,USA,33FR810,4291,CARD
Beta-2001,19,4920,270,USA,5OR167,2855,CARD
Beta-2002,19,6710,270,USA,5OR167,2855,CARD
M-1726R,48,7740,270,USA,21CE1,8118,CARD
S-3006,71,5965,265,check GIS,FaNq-56,9536,CARD
UGa-1530,35,1795,265,USA,33SU-?,4871,CARD
GX-9278,37,3425,265,USA,19BR214,5527,CARD
PITT-1084,36,6115,265,USA,36CN164,4849,CARD
S-16,35,6250,265,check GIS,AcHm-?,5824,CARD
TBN-306-3,19,2191,264,USA,LA4195,1838,CARD
BETA-58111,37,7840,260,USA,19-PL-337,5505,Erick
W-1108,135,6730,260,USA,AKTAN-VP,10405,CARD
UGA-5473,16,5415,260,USA,CA-MRN-17,2782,CARD
AECV-697C,45,2090,260,check GIS,DjPm-114,9016,CARD
S-1030,47,2910,260,check GIS,DkMe-10,9052,CARD
S-1800,70,4765,260,check GIS,FhPm-?-1,9648,CARD
S-976,135,1405,260,USA,AKMLZ050,10426,CARD
Beta-76363,9,2930,260,USA,LA43766,945,CARD
UGa-243,23,1060,260,USA,23MI2,1961,CARD
Tx-3631,19,3940,260,USA,5GN10,3226,CARD
AA-321,25,1740,260,USA,18KE17,3612,Erick
Tx-1733,17,2780,260,USA,26PE118,3942,CARD
Tx-2981,22,1570,260,USA,23MN732,3985,CARD
OWU-250,35,2460,260,USA,33LN7,5024,CARD
Beta-6460,34,2910,260,USA,20BE306,5472,CARD
C-191,36,4930,260,USA,NY,5555,CARD
C-794,36,4400,260,USA,NY,5555,CARD
GX-6989,37,7085,260,USA,19ES-?,6345,CARD
P-2468,33,3150,260,USA,47VE154,6865,CARD
GX-25539,38,2050,260,USA,ME30.42,7130,CARD
GaK-7595,27,3740,260,USA,35MA9,7446,CARD
GaK-1664,43,1860,260,USA,35GM9,7711,CARD
GaK-1669,43,3380,260,USA,35GM9,7711,CARD
GSC-1393,54,1090,260,check GIS,CkEe-5,8249,CARD
SFU-623,43,3950,260,USA,DfRu-8,8757,CARD
SFU-181,44,1170,260,check GIS,DjQj-1,8965,CARD
AECV-1565C,69,3950,260,check GIS,EdQx-43,9251,CARD
GX-8810,70,7645,260,check GIS,EgPr-2,9362,CARD
S-469,75,1070,260,check GIS,FbIx-___2,9568,CARD
GX-2234,59,7870,260,USA,AKSAM012,9628,CARD
SI-1998,86,7675,260,USA,AKUGA001,10044,CARD
Beta-39514,133,4770,260,USA,AKBEN053,10415,CARD
GX-15745G,38,3770,260,USA,ME29.9,7094,CARD
GSC-2886,66,2660,260,check GIS,GbTo-23,9765,CARD
C-276,17,2482,260,USA,26CH18,1589,CARD
RL-903,70,7010,260,check GIS,EdPl-10,9237,CARD
AA-847,7,4720,260,USA,CA-SDI-10940,662,CARD
AA-848,7,4880,260,USA,CA-SDI-10940,662,CARD
IVC-1,7,2378,260,USA,CA-ORA-185,891,CARD
C-735,17,3172,260,USA,26CH18,1589,CARD
UGa-6097D,24,2702,260,USA,15CR73,2983,CARD
RL-1623,70,2640,260,check GIS,EfPm-104,9348,CARD
S-3541,184,5265,260,check GIS,QjHq-?,10858,CARD
S-3521,183,4900,260,check GIS,RaJn-?,10877,CARD
S-3545,183,4120,260,check GIS,RaJo-?,10881,CARD
GSC-3600,186,6500,260,check GIS,SdFk-?,10908,CARD
SFU-293,68,1330,260,check GIS,EeRh-1,9297,CARD
S-731,45,7245,255,check GIS,DjOn-26,9043,CARD
UGa-2859,23,2630,255,USA,40MU261,1500,Erick
DIC-912,22,1800,255,USA,23JA110,3457,CARD
OWU-147,35,4095,255,USA,33FR63,4349,CARD
GX-6278,37,7590,255,USA,19ES80,6181,CARD
S-2848,73,1185,255,check GIS,EaLf-1,9155,CARD
S-2854,73,1185,255,check GIS,EaLf-1,9155,CARD
S-1130,81,2445,255,check GIS,EjAv-1,9459,CARD
S-2997,87,3375,255,USA,AKKOD100,9986,CARD
S-3000,139,3390,255,check GIS,NbTj-8,10561,CARD
M-229,35,4495,255,USA,46BR31,4472,CARD
GX-4824G,37,4310,255,USA,NH47-22,6456,CARD
QC-973,37,2265,255,USA,CT132-44,5452,CARD
SM-920,135,3440,253,USA,AKXCL002,10549,CARD
UGA-3979,18,2090,250,USA,D:7:3003,1787,CARD
UCR-606,32,6530,250,USA,13CK405,6260,CARD
UCLA-1088,6,4600,250,USA,CA-SBA-14,1179,CARD
UCR-142,16,1870,250,USA,CA-SJO-145,2685,CARD
M-647,16,4350,250,USA,CA-SJO-68,2689,CARD
M-643,33,3450,250,USA,47GT24,6195,Erick
GX-11203,36,3765,250,USA,NY,5555,CARD
GSC-802,70,5620,250,check GIS,EaOp-?,9160,CARD
GX-9125G,70,2885,250,check GIS,ElPf-1,9505,CARD
S-2764,71,3105,250,check GIS,FbNp-16,9567,CARD
GX-2237,59,7180,250,USA,AKSAM012,9628,CARD
Beta-23003,81,7050,250,check GIS,EiBg-51,9420,CARD
A-87,8,2610,250,USA,EE:2:35,88,CARD
A-88b,8,2740,250,USA,EE:2:35,88,CARD
A-3182,9,1430,250,USA,FF:10:16,98,CARD
C-143,12,1158,250,USA,16LA3,101,Erick
A-71,8,2090,250,USA,BB:6:?,504,CARD
M-403,12,2850,250,USA,16WC5 or 16WC2,563,Erick
M-434,7,3880,250,USA,CA-SCAI-17,831,CARD
A-743,8,1640,250,USA,U:13:1,854,CARD
M-541,9,2530,250,USA,W:10:12,879,CARD
C-628,16,1879,250,USA,CA-MNT-282,1688,CARD
M-645,16,4100,250,USA,CA-SJO-68,2689,CARD
UCLA-297,16,2180,250,USA,CA-CCO-259,2698,CARD
GaK-408,21,1400,250,USA,14CF332,2948,Erick
GX-12169,18,4010,250,USA,42EM1940,3375,Erick
M-377,17,3870,250,USA,26CK,3385,CARD
W-190,19,1100,250,USA,5ME-?,3482,CARD
W-616,19,1050,250,USA,5JF10,4023,CARD
A-711,30,7940,250,USA,5LR13,4672,CARD
Beta-18135,30,5270,250,USA,48FR1481,5737,Erick
Beta-2078,30,1970,250,USA,48FR848,6520,CARD
W-2885,46,4630,250,USA,24SW651,7744,CARD
WSU-1184,43,1440,250,USA,45CH64,8314,CARD
W-1366,46,1945,250,USA,24PH401,8391,CARD
M-132,22,7900,250,USA,23MT2,3381,CARD
C-377,20,4283,250,USA,LA8121,1933,CARD
M-2413,12,3210,250,USA,22CR504,883,CARD
SFU-121,23,7110,250,USA,15LV156,2056,CARD
SMU-1166,22,2860,250,USA,23HI216,2806,CARD
SMU-1167,22,4100,250,USA,23HI216,2806,CARD
RL-489,18,3330,250,USA,42WN631,2912,CARD
M-1934,24,3870,250,USA,46PU31,3196,CARD
Tx-3623,19,6100,250,USA,5GN212,3237,CARD
C-214,24,1509,250,USA,33CN10,3842,CARD
Tx-3320,22,2900,250,USA,23MN732,3985,CARD
C-874,24,1425,250,USA,33PI9,4098,CARD
M-1130,32,6090,250,USA,25CC28,4766,CARD
L-385D,31,4170,250,USA,25SF1,5430,CARD
GX-7085,37,4835,250,USA,19BR40,5525,CARD
C-367,36,5383,250,USA,NY,5555,CARD
W-545,36,3680,250,USA,NY,5555,CARD
W-363,37,4320,250,USA,19PL-?,5602,CARD
GX-10094,37,5100,250,USA,19WR268,5722,CARD
M-1731,35,6550,250,USA,20SA192,6754,CARD
M-1732,35,6650,250,USA,20SA192,6754,CARD
BGS-1363,35,1285,250,check GIS,AiHc-__75,6794,CARD
P-2465,33,3040,250,USA,47VE154,6865,CARD
P-2467,33,3090,250,USA,47VE154,6865,CARD
GX-16266,38,4385,250,USA,ME15.231,6974,CARD
S-1846,36,2360,250,check GIS,BfGa-__11,7427,CARD
S-1852,36,1290,250,check GIS,BfGa-__11,7427,CARD
I-503,43,6150,250,USA,35GM24,7718,CARD
SFU-155,51,1450,250,check GIS,CdHk-___3,8008,CARD
S-1266,51,2490,250,check GIS,ClIf-___8,8318,CARD
S-2853,73,1095,250,check GIS,EaLf-1,9155,CARD
WSU-3237,91,3300,250,USA,AKCRG236,9885,CARD
I-1507,85,2680,250,USA,AKXPM026,9898,CARD
GX-14672,87,5115,250,USA,AKKAR037,10036,CARD
GX-14674,87,5030,250,USA,AKKOD363,10048,CARD
WSU-117,85,1290,250,USA,AKXHI004,10100,CARD
S-2491,116,1035,250,check GIS,JbUm-1,10151,CARD
S-2224,122,2745,250,check GIS,KcLw-2,10263,CARD
C-563,110,2016,250,USA,AKNOB002,10395,CARD
Beta-58742,27,5960,250,USA,35JE51,7403,CARD
GX-2814,59,4610,250,USA,AKSAM012,9628,CARD
I-560,32,4480,250,USA,39BF225,7018,CARD
M-2424,23,2840,250,USA,12W1,2658,Erick
ISGS-198,22,5250,250,USA,11GE-?,3654,CARD
ISGS-202,22,4880,250,USA,11GE-?,3654,CARD
I-10165,36,3170,250,USA,36LY119,4876,CARD
M-371e,50,3800,250,USA,20IR24,8336,CARD
RIDDL-74,69,2420,250,check GIS,EhPv-8,9386,CARD
I-1159,86,3050,250,USA,AKXMK001,10092,CARD
I-1160,86,7360,250,USA,AKXMK001,10092,CARD
I-1634,86,4240,250,USA,AKXMK001,10092,CARD
NSRL-299,22,7000,250,USA,11PK500,4107,CARD
TO-7034,36,1170,250,check GIS,AfGx-__54,6418,CARD
C-755-756,13,4844,250,USA,1LU25,1290,CARD
C-251,23,4980,250,USA,15BT5,2232,CARD
GX-3373,71,4440,250,check GIS,EcNx-1a,9197,CARD
M-1890,22,4850,250,USA,14LV315,3714,Erick
M-39,14,4110,250,USA,9McI-?,102,Erick
L-160A,38,2010,250,USA,ME26.1,7035,CARD
L-160B,38,2310,250,USA,ME26.1,7035,CARD
M-67,35,6545,250,USA,20WA-VP,5645,CARD
M-1908,36,7050,250,USA,36HU1,4446,CARD
M-466,19,2440,250,USA,LA6164,1536,CARD
M-649,17,2690,250,USA,26CH15,1585,CARD
M-2435,35,2550,250,USA,20WA-VP,5645,CARD
C-152,23,2336,250,USA,15BT5,2232,CARD
C-139,24,2044,250,USA,33RO27,4011,CARD
L-290D,6,7070,250,USA,CA-SRI-3,969,CARD
A-323,6,3270,250,USA,CA-SBA-119,1178,CARD
I-646,113,5900,250,USA,AKXMH081,10335,CARD
C-554,17,5737,250,USA,26PE14,3943,CARD
C-711,30,3350,250,USA,48FR33,6504,CARD
WSU-498,43,6065,250,USA,45CA201,8344,CARD
UGa-1576,24,3330,250,USA,46CB56,3056,CARD
QC-1081,37,4920,250,USA,CT,4900,CARD
QC-952,37,4220,250,USA,CT,4900,CARD
QC-1167,37,1765,250,USA,CT75-1,5038,CARD
QC-940,37,5970,250,USA,6HT117,5410,CARD
I-2536,47,7840,250,USA,32ME-VP,8168,CARD
C-562,110,1966,250,USA,AKNOB,10391,CARD
M-552,18,1170,250,USA,42SV21,3327,Erick
A-80,34,1990,250,USA,11P-?,4745,Erick
M-1726,48,7200,250,USA,21CE1,8118,CARD
M-1730,48,7370,250,USA,21CE1,8118,CARD
Birm-711,136,5845,246,USA,AKLIV041,10417,CARD
A-2230,32,2230,245,USA,39BK7,7217,CARD
UGa-4486,24,1155,245,USA,33HA19,3596,CARD
SMU-1420,21,7990,245,USA,14JN309,3825,CARD
SMU-1421,21,7818,245,USA,14JN309,3825,CARD
DIC-931,36,2940,245,USA,NY,5555,CARD
GX-9310,36,1685,245,USA,NY,5555,CARD
S-1241,47,2650,245,check GIS,DkMq-2,9071,CARD
OWU-224B,35,5560,245,USA,33ST-VP,4761,CARD
UGa-1325,24,2285,245,USA,15LA45,2824,CARD
ISU-1591-6,29,7320,243,USA,10FR4,7126,CARD
GX-3764,20,7605,240,USA,34Ci133,1884,Erick
BETA-63078,37,7880,240,USA,19-PL-337,5505,Erick
SI-45,19,5920,240,USA,5DA201,3362,CARD
A-548,30,990,240,USA,48SH308,7397,Erick
RL-1530A,47,7560,240,USA,24CT30,7656,CARD
Tx-4734,48,1570,240,USA,32SN22,8050,CARD
GX-2233,59,7070,240,USA,AKSAM012,9628,CARD
GX-2235,59,7120,240,USA,AKSAM012,9628,CARD
GX-2241,59,7175,240,USA,AKSAM012,9628,CARD
RIDDL-322,141,4430,240,check GIS,LgRk-1,10409,CARD
QU-680,53,4000,240,check GIS,BhFl-1e,7566,CARD
QU-116,52,3220,240,check GIS,BiFh-4,7590,CARD
A-4727,8,2290,240,USA,AA:12:486,448,CARD
GX-376,19,6770,240,USA,LA9300,1541,CARD
GX-12720,19,3175,240,USA,LA17687,1823,CARD
UCLA-1786C,16,2870,240,USA,CA-CCO-308,2706,CARD
UGA-906,18,6310,240,USA,42SV6,3317,Erick
USGS-2481B,16,7150,240,USA,CA-LAK-380,3586,CARD
Beta-9364,30,2010,240,USA,48SW5741,5279,CARD
Beta-6919,29,7650,240,USA,48LN1192,5659,CARD
Beta-16985,30,2460,240,USA,48CO916,6803,Erick
WSU-430,44,2760,240,USA,45FR39,7979,CARD
WSU-1243,44,1710,240,USA,45FE45,8481,CARD
WSU-1207,43,1030,240,USA,45SJ24,8618,CARD
RL-272,43,2630,240,USA,45WH1,8711,CARD
Tx-3247,13,4860,240,USA,1JE57,882,CARD
M-1834,24,1070,240,USA,46FA7,2841,CARD
Tx-3624,19,7660,240,USA,5GN191,3231,CARD
OWU-249,24,2120,240,USA,33JA160,3598,CARD
OWU-259,24,4570,240,USA,33VI-?,3720,CARD
SI-2063,35,3950,240,USA,36WH297,4456,CARD
OWU-251,35,1935,240,USA,33LN7,5024,CARD
GX-2489,37,4465,240,USA,6LF2,5234,CARD
GX-2836,37,4185,240,USA,6LF33,5235,CARD
Beta-6975A,29,3240,240,USA,48LN1101,5655,CARD
GX-2531,37,4715,240,USA,NH,6436,CARD
Beta-17841,27,3400,240,USA,35LNC62,7376,CARD
Beta-16482,43,3100,240,USA,35GM91,7654,CARD
S-1416,67,2410,240,check GIS,FdSi-11,9452,CARD
GX-2757,59,5370,240,USA,AKSAM,9629,CARD
GaK-1860,74,2760,240,check GIS,GdKn-1,9829,CARD
SFU-452,93,1130,240,check GIS,HbRf-39,9922,CARD
Beta-19789,86,1000,240,USA,AKNAK036,10061,CARD
GaK-3801,87,5750,240,USA,AKAFG008,10064,CARD
S-644,118,2470,240,check GIS,JcRw-40,10169,CARD
Beta-8951,169,3210,240,check GIS,PfJv-2,10809,CARD
UGa-3174,113,4145,240,USA,AKXBD106,10377,CARD
Tx-3127,44,2370,240,USA,45OK250,8559,CARD
RIDDL-275,43,3720,240,USA,DeRt-2,8695,CARD
C-635,28,1930,240,USA,42TO13,4668,CARD
RIDDL-116,35,1120,240,check GIS,AdHa-___1,6079,CARD
PITT-1172,36,5790,240,USA,36CN164,4849,CARD
n/a-83,91,1740,240,USA,AKCRG164,9897,CARD
S-1979,71,4450,240,check GIS,EiNs-4,9441,CARD
P-63,132,1480,240,USA,AKTEL026,10418,CARD
P-67,132,1230,240,USA,AKTEL079,10419,CARD
SMU-1423,21,7668,237,USA,14JN309,3825,CARD
TX-3112,46,1769,235,USA,24BH1726,7607,CARD
S-2418,45,4505,235,check GIS,DkPp-11,9059,CARD
GX-11146,18,5300,235,USA,42KA2771,2358,Erick
C-899,22,5955,235,USA,11RA501,2807,CARD
GX-6747,37,6325,235,USA,19ES-?,6345,CARD
GX-6049,37,4260,235,USA,VTCH46,7264,CARD
S-2998,87,2400,235,USA,AKKOD100,9986,CARD
OWU-224A,35,5490,235,USA,33ST-VP,4761,CARD
GX-15745A,38,3490,235,USA,ME29.9,7094,CARD
I-217,39,1110,235,check GIS,BdCx-5,7368,CARD
SMU-2163,35,2414,235,USA,33FR43,4288,CARD
UCLA-2589B,35,2720,235,USA,33CS-?,4467,CARD
WSU-359,29,7150,231,USA,10LH23,7470,CARD
Tx-4798,11,7470,230,USA,41WM235,62,TARL/CARD
I-7990,32,4615,230,USA,13CK405,6260,CARD
